,Dissolved Oxygen
2021-03-07,-0.4957212100380822
2021-03-17,-0.6772410290083154
2021-03-27,-0.06481471703074018
2021-04-01,-0.18847306944077868
2021-04-06,-0.15762075351275667
2021-04-11,-0.10712078999765352
2021-04-16,-0.061290453949774275
2021-04-26,-0.08698530154837734
2021-05-06,-0.16450890541697732
2021-05-11,-0.12693289547009723
2021-05-16,-0.15515461359197832
2021-05-21,-0.111571077956508
2021-05-26,-0.11006102309772568
2021-07-05,-0.10930297204749406
2021-10-13,-0.09033204941730193
2021-10-23,-0.13033712141526257
2021-10-28,-0.04250439879604716
2021-11-02,-0.08617267273907542
2021-11-07,-0.10145624995679407
2021-11-12,-0.032709315351948626
2021-11-27,-0.0818303474748164
2021-12-07,-0.11655278257636031
2021-12-12,-0.04106859272030961
2021-12-22,-0.11387859665535832
2021-12-27,-0.11668401797189606
2022-01-21,-0.16072455951339462
2022-01-26,-0.2582361681439912
2022-01-31,-0.025344360204635853
2022-02-05,-0.042001105401175104
2022-02-10,-0.04937335084700548
2022-02-15,-0.058660568262000064
2022-02-20,-0.021779992339280647
2022-03-02,-0.0724619387751062
2022-03-12,-0.08447838079164201
2022-03-17,-0.10558281882693259
2022-03-22,-0.1103212106995528
2022-03-27,-0.06892790502840193
2022-04-01,-0.07461000544902421
2022-04-06,-0.09079808770493945
2022-04-16,-0.08235797950498917
2022-04-26,-0.060099037919050476
2022-05-01,-0.06543072732224728
2022-05-06,-0.06114156264724785
2022-05-11,-0.08897465382510392
2022-05-16,-0.10795379062324809
2022-05-21,-0.07343611979526114
2022-05-26,-0.08614867222876571
2022-05-31,-0.07872173499557983
2022-10-03,-0.08654971838023945
2022-10-13,-0.04332189860187601
2022-10-18,-0.046059013861193085
2022-10-23,-0.049847443249819434
2022-10-28,-0.038466104907439534
2022-11-02,-0.046801034599462506
2022-11-07,-0.031724992217028465
2022-11-12,-0.046851125501578036
2022-11-17,-0.017108208750133216
2022-11-22,-0.0407434391929079
2022-11-27,-0.03804503913484188
2022-12-02,-0.03409755056215126
2022-12-07,-0.0382634635660348
2022-12-17,-0.04322434049744441
2022-12-22,-0.056287337422598206
2022-12-27,-0.04013430301751222
